Sr.No,COLLEGE/UNIVERSITY,                                             Undergraduate  Course,Post Graduate Course,WEBISTE,
,,,Executive Post Graduate  in Operations Management,,
,,,Executive Post Graduate  in Financial Management,,

14,Army Institute of Technology,Bachelor of Engineering,Post Graduate in Data Science,https://www.aitpune.com/,
,,Bachelors in Computer Engineering,,,
,,Bachelor in Electronics & Telecomm Engineering,,,
,,Bachelor in Technology,,,
,,Bachelor in Mechanical Engineering,,,

15,Brihan Maharashtra College of Commerce,Bachelor of Commerce,Post Graduate Diploma in Management ,https://www.bmcc.ac.in/,
,,Bachelor of Business,Master of Commerce,,
,,Bachelor of Business in International Business,Doctor of Philosophy in Commerce,,
,,Bachelor of Business in Computer Application,Post Graduate Diploma in Big Data Analytics,,
,,Bachelor of Commerce in FinTech,,,
,,Bachelor of Commerce Honours,,,

16,"Bharati Vidyapeeth (Deemed to be University) College of Engineering, Pune",Bachelor of Technology in Civil Engineering,Master of Technology specialization in Electrical-Power Systems,http://bvucoepune.edu.in/,
,,Bachelor of Technology in Electronics & Telecommunication ,Master of Technology specialization in VLSI Design,,
,,Bachelor of Technology in Production Engineering,Master of Technology specialization in Hydraulics,,
,,Bachelor of Technology in Computer Science and Business Systems,Master of Technology specialization in Computer Engineering,,
,,Bachelor of Technology in Information Technology,Master of Technology specialization in Nanotechnology,,
,,Bachelor of Technology in Chemical Engineering,Master of Technology specialization in Mechanical CAD CAM,,
,,Bachelor of Technology in Electronics Engineering,,,
,,Bachelor of Technology in Software Engineering,,,
,,Bachelor of Technology in Computer Engineering,,,
,,Bachelor of Technology in Electrical Engineering,,,
,,Bachelor of Technology in Mechanical Engineering,,,


17,PCCOE - Pimpri Chinchwad College Of Engineering,Bachelor of Technology specialization in Civil Engineering,Master Of Computer Applications,http://www.pccoepune.com/,
,,Bachelor of Technology specialization in Mechanical Engineering,Post Graduate Engineering specialization in Mechanical Engineering Design,,
,,Bachelor of Technology specialization in Electronics and Telecommunication,Post Graduate Engineering specialization in Mechanical Engineering Heat Power,,
,,Bachelor of Technology specialization in Computer Engineering in AI and ML,Post Graduate Engineering specialization in Electronics and Telecommunication Engineering  VLSI and Embedded Systems,,
,,Bachelor of Technology specialization in Computer Engineering Regional Language,Post Graduate Engineering specialization in Computer Engineering,,
,,,Post Graduate Engineering specialization in AI & DS,,
,,,Post Graduate Engineering specialization in Construction Management ,,


18,SCTR'S Pune Institute of Computer Technology,Bachelor of Engineering  ,Master of Engineering,https://pict.edu/,
,,Bachelor of Technology,Master of Technology,,

19,"BRACT's, Vishwakarma Institute of Information Technology",Bachelor of Technology in Civil Engineering,Master of Technology specialization in WATER RESOURSES & ENVIRONMENTAL ENGINEERING,https://www.viit.ac.in/,
,,Bachelor of Technology in Mechanical Engineering,Master of Technology specialization in Civil Engineering,,
,,,Master of Technology specialization in Computer Engineering,,
,,,Master of Technology specialization in Electronics & Telecommunication Master of Technology specialization in Engineering,,
,,,Master of Technology specialization in Information Technology,,
,,,Master of Technology specialization in Mechanical Engineering,,
,,,Master of Technology specialization in Engineering & Applied Sciences,,
,,,Master of Technology specialization in Artificial Intelligence & Data Science,,
,,,Master of Technology specialization in Artificial Intelligence and Machine Learning,,

20,Ness Wadia College of Commerce,Bachelor of Commerce,Master of Commerce,https://nwcc.mespune.org/,
,,BACHELOR OF BUSINESS ADMINISTRATION,Post Graduate Diploma in International Business,,
,,BACHELOR OF BUSINESS ADMINISTRATION specialization in INTERNATIONAL BUSINESS,,,
,,BACHELOR OF BUSINESS ADMINISTRATION specialization in Computer Application,,,


21,Symbiosis Institute of Computer Studies and Research,BACHELOR OF COMPUTER APPLICATIONS  ,Masters of Science  in Computer Applications,https://www.sicsr.ac.in/,
,,BACHELOR OF COMPUTER APPLICATIONS (HONOURS),Master of Business Administration specialization in TECHNOLOGY,,
,,BACHELOR OF BUSINESS ADMINISTRATION specialization in INFORMATION TECHNOLOGY,Master of Business Administration specialization in Digital Transformation,,

22,"Dr. D. Y. Patil Vidyapeeth, Pune",Bachelor of Ayurvedic Medical Sciences,MDS in Prosthodontics and Crown & Bridge,https://dpu.edu.in/,
,,Bachelor of Dental Surgery,MDS in Periodontology,,
,,Bachelor of Business Administration,MDS in Oral & Maxillofacial Surgery,,
,,Bachelor of Homeopathic Medicine & Surgery,MDS in Conservative Dentistry & Endodontics,,
,,Bachelor of Optometry ,MDS in Orthodontics & Dentofacial Orthopedics,,
,, Bachelor of Physiotherapy,MDS in Oral Pathology & Microbiology,,
,,Bachelor of Science in Nursing,MDS in Public Health Dentistry,,
,,Bachelor of Technology specialization in Biotechnology,MDS in Paedodontics & Preventive Dentistry,,
,,Bachelor of Technology specialization in Bioinformatics,MDS in Oral Medicine & Radiology,,
,,Bachelor of Technology specialization in Medical Biotechnology,,,

23,P.E.S. Modern College of Engineering,Bachelor of Engineering in Mechanical,MASTER OF ENGINEERING in Electrical Engineering Control Systems,https://moderncoe.edu.in/,
,, Bachelor of Engineering specialization in Electronics Engineering,MASTER OF ENGINEERING in Mechanical Engineering Heat Power,,
,,Bachelor of Engineering specialization in Electronics and Telecommunication Engineering,MASTER OF ENGINEERING in Electronics and Telecommunication Engineering Signal Processing,,
,,Bachelor of Engineering specialization in Computer Engineering in Artificial Intelligence and Machine Learning,MASTER OF BUSINESS ADMINISTRATION,,
,,Bachelor of Engineering specialization in Information Technology Engineering,MASTER OF COMPUTER APPLICATION,,


24,Defence Institute Of Advanced Technology,NOT AVAILABLE , Master of Technology in Aerospace Engineering specialization in Guided Missiles,https://www.diat.ac.in/,
,,, Master of Technology in Aerospace Engineering specialization in Air Armament,,
,,,Master of Technology in Aerospace Engineering specialization in Unmanned Aerial Vehicle,,
,,,Doctor of Philosophy In different areas of Aerospace Engineering,,
,,,Short Term Courses in Missile Technology for BrahMos and BDL Executives,,
,,,Master of Technology in Cyber Security,,
,,, Master of Technology in Computer Science and Engineering specialization in Artificial Intelligence,,
,,, Master of Technology-Electronics and Communication Engineering Specialization in Signal Processing and Communication Radar and Communication,,
,,," Master of Science in Materials Science, Master of Technology in Materials Engineering",,
,,, Master of Technology in Nano Science and Technology,,
,,,"Master of Science in Food Technology,",,
,,, Master of Technology in Modelling & Simulation,,
,,, Master of Technology in Data Science,,
,,,Doctor of Philosophy Applied Ethics,,
,,, Masters of Technology in Sensor Technology,,

25,Marathwada Mitra Mandal's College of Engineering,Bachelor of Engineering in Mechanical,MASTER OF ENGINEERING in Electrical Engineering Control Systems,https://www.mmcoe.edu.in/,
,, Bachelor of Engineering specialization in Electronics Engineering,MASTER OF ENGINEERING in Mechanical Engineering Heat Power,,
,,Bachelor of Engineering specialization in Electronics and Telecommunication Engineering,MASTER OF ENGINEERING in Electronics and Telecommunication Engineering Signal Processing,,
,,Bachelor of Engineering specialization in Computer Engineering in Artificial Intelligence and Machine Learning,MASTER OF BUSINESS ADMINISTRATION,,
,,Bachelor of Engineering specialization in Information Technology Engineering,MASTER OF COMPUTER APPLICATION,,


26,Armed Forces Medical College Pune,Bachelor of Science in Nursing,Master of Science in Nursing,https://afmc.nic.in/,
,,Post basic diploma certificate course in Operation Room nursing,Master of Science specialization in Anatomy,,
,,Post basic diploma certificate course in Orthopedic and Rehabilitation nursing,Doctorate of Medicine in Cardiology,,
,,Post Basic Diploma Certificate course in Oncology Nursing,Post Graduate Diploma in Venereology & Leprosy,,
,,Post Basic Diploma Certificate course in Cardiothoracic Nursing,Post Graduate Diploma in  Hospital Administration,,
,,Post Basic Diploma Certificate course in Neonatal Nursing, Post Graduate Diploma in Anesthesia,,
,,Bachelor of Medicine Bachelor of Surgery,Post Graduate Diploma in  Ophthalmology,,
,,,Post Graduate Diploma in  Radio-diagnosis,,
,,,Post Graduate Diploma in  Clinical Pathology,,
,,,Postgraduate Diploma in  Child Health,,
,,,Post Graduate Diploma in  Obstetrics & Gynaecology,,
,,,Post Graduate Diploma in  Public Health,,
,,,Post Graduate Diploma in  Oto-Rhino-Laryngology,,

27,D. Y. Patil International University,Bachelor of Technology in Computer Science,Master of Business Administration in Digital Business,https://www.dypiu.ac.in/,
,,Bachelor of Technology in Bio Engineering,Master of Science in Medical Biotechnology,,
,,Bachelor of Design,Masters of Computer Applications,,
,,Bachelor in Computer Application,,,
,,Bachelor of Arts in Journalism and Mass Communication,,,


28,Abasaheb Garware College,Bachelor of Science in Biotechnology,Master of Science in Biodiversity,https://garwarecollege.mespune.in/,
,,Bachelor of Science in Botany,Master of Science in Biotechnology,,
,,Bachelor of Science in Chemistry,Master of Science in Analytical Chemistry,,
,,Bachelor of Science in Computer Science,Master of Science in Organic Chemistry,,
,,Bachelor of Science in Electronic Science,Master of Science in Computer Science,,
,,Bachelor of Science in Mathematics,Master of Science in Electronic Science,,
,,Bachelor of Science in Microbiology,Master of Science in Microbiology,,
,,Bachelor of Science in Physics,Master of Science in Physics,,
,,Bachelor of Science in Statistics,Master of Science in Computer Applications,,
,,Bachelor of Science in Zoology,Master of Arts in Economics,,
,,Bachelor of Computer Application,Master of Arts in English,,
,,Bachelor of Arts specialization in Economics,Master of Arts in Hindi,,
,,Bachelor of Arts specialization in English,Master of Arts in History,,
,,Bachelor of Arts specialization in Geography,Master of Arts in Political Science,,
,,Bachelor of Arts specialization in Hindi,Master of Arts in Psychology,,
,,Bachelor of Arts specialization in History,Master of Arts in Mass communication and Journalism,,
,,Bachelor of Arts specialization in Marathi,Master of Library and information science,,
,,Bachelor of Arts specialization in Political Science,Master of Philosophy in Economics,,
,,Bachelor of Arts specialization in Psychology,Master of Philosophy in Hindi,,
,,Bachelor of Arts specialization in Sociology,Master of Philosophy in History,,
,,Bachelor of Vocational Degree in Beauty and Wellness,Doctor of Philosophy in Economics,,
,,Bachelor of Vocational Degree in Mass Communication  ,Doctor of Philosophy in Hindi,,
,,Bachelor of Library and information science,Doctor of Philosophy in Chemistry,,
,,,Doctor of Philosophy in Microbiology,,
,,,Doctor of Philosophy in Physics,,
,,,"Doctor of Philosophy in Electronic Science,",,
,,,Doctor of Philosophy in Environmental Science,,

29,MMCC(Marathwada Mitra Mandal's College of Commerce),Bachelor of Commerce,Masters in Commerce in Journalism,https://www.mmcc.edu.in/,
,,Bachelor of Business Administration in Computer Applications,Masters in Arts in English),,
,,Bachelor of Science in Computer Science,Certificate Course in Japanese,,
,,Bachelor of Business International Business,Certificate Course in French,,
,,,Certificate Course in Event Master of Management,,
,,,Certificate Course in Travel and Tourism,,
,,,Certificate Course in Human Rights,,
,,,Certificate Course in Creative Writing,,
,,,Post Graduate Diploma in  Foreign Trade,,
,,,Post Graduate Diploma in  Banking & Finance,,
,,,Vruttapatravidya Padawika Post Graduate Diploma in  Journalism,,
,,,Post Graduate Diploma in  Financial & Insurance Services,,
,,,Post Graduate Diploma in  Travel & Tourism,,



30,BYRAMJEE JEEJEEBHOY GOVERNMENT MEDICAL COLLEGE,Bachelor of Science in Nursing ,Doctor of Medicine in  in in Paediatrics ,http://www.bjmcpune.org/,
,, Bachelor of Medicine and Bachelor of Surgery," Doctor of Medicine in Microbiology,",,
,,,Doctor of Medicine in Ophthalmology,,
,,,Doctor of Medicine in Preventive Social Medicine,,
,,,Doctor of Medicine in Biochemistry,,
,,,Master of Science in Entomology,,
,,,Doctor of Medicine in Skin and Venereology,,
,,,Doctor of Medicine in Psychiatry,,
,,,Doctor of Medicine in Forensic Medicine,,


31,"Indian Institute of Information Technology, Pune",Bachelor of Technology specialization in Computer Science and Engineering,Master of Technology in Computer Science and Engineering,https://www.iiitp.ac.in/,
,,Bachelor of Technology specialization in Electronics & Communication Engineering,Master of Technology in Electronics and Communication Engineering,,

32,Symbiosis Centre for Management and Human Resource Development,NOT AVAILABLE ,"Master of Business Administration,",https://www.scmhrd.edu/,
,,,Master of Business Administration - Infrastructure Development And Management,,
,,,Master of Business (Executive),,
,,,Master of Business Administration in Business Analytics,,



33,MKSSS's Cummins College of Engineering For Women,Bachelor of Technology in Information Technology,Master of Technology in Electronics and Telecommunication Engineering specialization in Artificial Intelligence,https://www.cumminscollege.org/,
,,Bachelor of Technology in Instrumentation  and Control Engineering,Master of Technology in Mechanical Engineering specialization in Mechanical Engineering Design,,
,,Bachelor of Technology in Mechanical Engineering,,,


34,Sinhgad College of Engineering,Bachelor of Engineering in Computer Engineering,Master of Engineering specialization in Chemical Engineering,http://cms.sinhgad.edu/,
,,Bachelor of Engineering in Information Technology,Master of Engineering specialization in Structural Engineering,,
,,Bachelor of Engineering in Biotechnology Engineering,Master of Engineering specialization in Artificial Intelligence and Data science,,
,,Bachelor of Engineering in Electronics and Telecommunication Engineering,Master of Engineering specialization in Power Electronics & Drives,,
,,Bachelor of Engineering in Civil Engineering,Master of Engineering specialization in Sensor Systems,,
,,,Master of Engineering specialization in Mechanical Engineering Design,,
,,,Doctor of Philosophy Research in Chemical Engineering,,
,,,Doctor of Philosophy Research in Civil Engineering,,
,,,Doctor of Philosophy Research in Computer Engineering,,
,,,Doctor of Philosophy Research in Electrical Engineering,,
,,,Doctor of Philosophy Research in Mechanical Engineering,,


35,AISSMS College of Engineering,Bachelor Of Engineering specialization in Civil Engineering,Master Of Engineering specialization in Chemical Engineering,https://aissmscoe.com/,
,,Bachelor Of Engineering specialization in Computer Engineering,Master Of Engineering specialization in Structural Engineering,,
,,Bachelor Of Engineering specialization in Electrical Engineering,Master Of Engineering specialization in Artificial Intelligence and Data Science,,
,,Bachelor Of Engineering specialization in Electronics & Tele. Engineering,Master Of Engineering specialization in Power Electronics & Drives,,
,,Bachelor Of Engineering specialization in Mechanical Engineering,Master Of Engineering specialization in I0T and Sensor Systems,,
,,Bachelor Of Engineering specialization in Mechanical Engineering (Sandwich),Master Of Engineering specialization in Mechanical Engineering Design,,
,,Bachelor Of Engineering specialization in Production Engineering (Sandwich),Doctor of Philosophy in Chemical Engineering,,
,,Bachelor Of Engineering specialization in Robotics and Automation,Doctor of Philosophy in Civil Engineering,,
,,,Doctor of Philosophy in Computer Engineering,,
,,,Doctor of Philosophy in Electrical Engineering,,
,,,Doctor of Philosophy in Mechanical Engineering,,



36,Vishwakarma University,Bachelor of  Architecture,Master of Arts specialization in interior design and decoration,https://www.vupune.ac.in/academicss,
,,Bachelor ARTS INTERIOR DESIGN AND DECORATION,Master of Design specialization in Visual Communication Design,,
,,Bachelor Technology specialization in FASHION DESIGN & TECHNOLOGY,Master of Design specialization in Product Design,,
,,Bachelor Design in Visual Communication Design ,Master of Design specialization in interaction Design,,
,,Bachelor Design in Product Design ,Master of Business Administration,,
,,Bachelor Design in Interaction Design ,Post Graduate Diploma in Financial data Management,,
,,Bachelor of ARTS ANIMATION & MULTIMEDIA, Post Graduate Diploma in financial intelligence,,
,,The Bachelor of Business Administration specialization in International Business,Post Graduate Diploma in financial sector,,
,,Bachelor of Business Administration specialization in Computer Application ,Master of Arts in PSYCHOLOGY,,
,,Bachelor of ARTS specialazation in PSYCHOLOGY,Master of Arts in GLOBAL MUSIC,,
,,Bachelor Science in Economics,Master of Laws,,
,,Bachelor of Arts in Music,Master of Arts Journalism & Mass Communication,,
,,Bachelor of ARTS specialazation in TRAVEL & TOURISM,Diploma in Pharmacy,,
,,Bachelor Business Administration and Bachelor Legislative Law,Master of Science in Computer Science,,
,,Bachelor of Arts specialazation in JOURNALISM AND MASS COMMUNICATION,Masters of Technology in Computer Engineering,,
,,Bachelor of PHARMACY ,Masters of Technology in Mechanical engineering,,
,,Bachelor of  Technology  specialazation in ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,Master of Science in Statistics Data Science,,
,,Bachelor of  SCEICNE STATISTICS- DATA SCIENCE,,,

,, ,,,
37,"MIT Art, Design & Technology University",Bachelor of Commerce,Master of Fine Arts Applied Arts specialization in designs and decoration,https://mituniversity.ac.in/,
,,Bachelor of Business in Computer Applications,Master of Fine Arts specialization in Painting,,
,,Bachelor of Science in Computer Science,Master of Fine Arts specialization in Sculpture,,
,,Bachelor of Business in International Business,Doctor of Philosophy specialization in Applied Arts and Fine Arts,,
,,,Master of Arts specialization in Typography,,
,,,Master of Arts specialization in Advertising and Media,,
,,,Master of Arts specialization in Sign and symbols Colour Branding,,
,,,Master of Performing Arts specialization in Dance & Vocal Instrumental,,
,,,Master of Business Administration in Human Resource,,
,,,Master of Business Administration in Event,,
,,,Master of Business Administration specialization in Marketing Management,,
,,,Master of Business Administration in Finance Technology,,
,,,Master of Arts Master of Business Administration in Digital Marketing,,
,,,Master of Business Administration in International Business,,
,,,Master of Business Administration in Agriculture & Food Business,,
,,,Master of Business Administration in Project & Construction Management,,
,,,Master of Business Administration in Port & Shipping,,
,,,Master of Business Administration in Logistic & Supply Chain,,
,,,Master of Business Administration in Hospital & Healthcare Management,,
,,,Master Of Computer Application,,
,,,Master of Computer Application specialization in Data Science,,
,,,Master of Computer Application specialization in Cloud Computing,,
,,,Master of Technology specialization in Construction,,
,,,Doctor of Philosophy in Management skills in leadership and entrepreneurship,,
,,,Master of Arts in Real Estate & Construction in association with CREDAI Pune,,



38,"Dr. D. Y. Patil Medical College, Hospital & Research Centre",Bachelor of Medicine and Bachelor of Surgery,Master of Surgery specialization in Surgery,https://medical.dpu.edu.in/,
,,,Master of Surgery specialization in Obstetrics & Gynaecology,,
,,,Master of Surgery specialization in Orthopaedics,,
,,,Master of Surgery specialization in Ophthalmology,,
,,,Master of Surgery specialization in Otorhinolaryngology,,
,,,Master of Chirurgiae in NeuroSurgery ,,
,,,Master of Chirurgiae in Urology,,
,,,Master of Chirurgiae in Cardio Vascular & Thoracic Surgery,,
,,,Master of Chirurgiae in Plastic & Reconstructive Surgery,,
,,,Master of Chirurgiae in Surgical Oncology,,
,,,Master of Chirurgiae in Paediatric Surgery,,
,,,Doctorate of Medicine in Nephrology,,
,,,Doctorate OF MEDICINE in Cardiology,,
,,,Doctorate OF MEDICINE in Neurology,,
,,,Doctorate OF MEDICINE  in Interventional Radiology,,
,,,Doctorate OF MEDICINE in  Critical Care Medicine,,
,,,Doctorate OF MEDICINE  in Medical Gastroenterology,,

39,Poona College of Pharmacy,Bachelor of Pharmacy ,Master of Pharmacy specialization in Drug Regulatory Affairs,https://pcp.bharatividyapeeth.edu/,
,,Pharmacy doctoral programme ,Master of Pharmacy specialization in Pharmaceutical Biotechnology,,
,,,Doctor of Pharmacy – Post Baccalaureate,,
,,,Doctorate in Pharmacology,,
,,,Doctor of Philosophy in Pharmacy Practice Studies,,




40,Department of Management Sciences,Bachelor of Business Administration in Hospitality and Facilities Management ,Master of Business Administration,https://www.pumba.in/,
,,,Master of Business Administration specialization in Pharma-Biotechnology,,
,,,Doctor of Philosophy in department of Management services specialization in Finance management ,,


41,Sir Parashurambhau College,Bachelor of Arts specialization in Marathi,Master of Arts specialization in Economics,https://www.spcollegepune.ac.in/,
,,Bachelor of Arts specialization in Sanskrit,Master of Arts specialization in Psychology,,
,,Bachelor of Arts specialization in Hindi,Master of Arts specialization in Geography,,
,,Bachelor of Arts specialization in English,Master of Arts specialization in Political Science,,
,,Bachelor of Arts specialization in German,Master of Arts specialization in Mathematics,,
,,Bachelor of Arts specialization in Philosophy,Master of Arts specialization in Sociology,,
,,Bachelor of Arts specialization in Economics,Master of Arts specialization in English,,
,,Bachelor of Arts specialization in History,Master of Science in Chemistry,,
,,Bachelor of Arts specialization in Political Science,Master of Science in Mathematics,,
,,Bachelor of Arts specialization in Sociology,Master of Science in Computer Science,,
,,Bachelor of Arts specialization in Psychology,Master of Science in Physics,,
,,Bachelor of Arts specialization in Geography,Master of Science in Geography,,
,,Bachelor of Arts specialization in Mathematics,Master of Science in Botany,,
,,Bachelor of Arts specialization in Hindi,Master of Commerce,,
,,Bachelor of Arts specialization in Logic,,,
,,Bachelor of Science specialization in Chemistry,,,
,,Bachelor of Science specialization in Physics,,,
,,Bachelor of Science specialization in Electronics,,,
,, Bachelor of Science specialization in Botany,,,
,,Bachelor of Science specialization in Zoology,,,
,,Bachelor of Science specialization in Mathematics,,,
,, Bachelor of Science specialization in Statistics,,,
,,Bachelor of Computer Science specialization in Geography,,,


42,"Poona College of Arts, Science and Commerce",Bachelor of Commerce,Master of Arts specialization in Economics,https://poonacollege.edu.in/,
,,Bachelor of Arts specialization in Economics,Master of Arts specialization in English,,
,,Bachelor of Arts specialization in Economics,Master of Arts specialization in Urdu,,
,,Bachelor of Arts specialization in English,Master of Commerce,,
,,Bachelor of Arts specialization in Hindi,Master of Philosophy specialization in Economics,,
,,Bachelor of Business Administration ,Master of Philosophy specialization in Commerce,,
,,Bachelor of Arts specialization specialization in History,Master of Philosophy specialization in Chemistry,,
,,Bachelor of Computer Applications ,Doctor of Philosophy specialization in Economics,,
,,,Doctor of Philosophy specialization in Commerce,,
,,,Doctor of Philosophy specialization in Chemistry,,
,,,Master of Science of specialization in Zoology,,
,,,Master of Science of specialization in Chemistry,,
,,,Master of Science of specialization in Computer Science,,
,,,Master of Science of specialization in Electronics,,



43,Symbiosis Institute of Business Management Pune,NOT AVAILABLE ,Masters of Business Administration,https://sibm.edu/,
,,,Masters of Business Administration specialization in INNOVATION and ENTREPRENEURSHIP,,
,,,Masters of Business Administration specialization in Leadership and Strategy,,
,,,Masters of Business Administration specialization in Executive,,


44,Symbiosis Institute of Media & Communication AND Symbiosis Institute of Telecom Management,NOT AVAILABLE ,Mass Communication specialization in Audio Visual and Journalism,https://www.simc.edu/,
,,,Master of Business Administration specialization in Brand Communication,,
,,,Master of Business Administration specialization in Media Management,,
,,,Master of Business Administration specialization in Public Relations and Marketing & Media Analytics,,


45,Symbiosis Law School,Bachelor of Arts and Bachelor of Laws,Legum Magister Master of Laws,https://www.symlaw.ac.in/,
,,Bachelor of Business Administration and Bachelor of Legislative Law,Certificate in Asian Legal Studies,,
,,Diploma in International Business Laws and Corporate Laws in India,Certificate in European Union Legal Studies,,


46,ILS Law College,Bachelor of Arts and Bachelor of Laws,Post Graduate Department in Law,https://ilslaw.edu/,
,,Bachelor of Business Administration and Bachelor of Laws,Diploma in Labour Laws and Labour Welfare,,
,,Bachelor of Laws,Diploma in Taxation and Laws,,
,,,Diploma in Corporate laws,,
,,,Diploma in Medical Jurisprudence and Forensic Science,,
,,,Diploma in Human Rights and Laws,,
,,,Diploma in Cyber Laws,,
,,,Diploma in Competition Laws & Policy,,
,,,Diploma in Corporate International Taxation,,
,,,Certificate Course on Goods and Service Tax,,
,,,Advanced Certificate Program on Civil Court Practice and Procedure,,
,,,Certificate Course in Intellectual Property Rights Laws,,
,,,Certificate course in Foundations of Law,,
,,,Course on Comparative Constitutional Law with Special focus on India and US,,
,,,Certificate Course Law Buzz,,
,,,"Certificate Program on What, How and Why of learning the Law",,
,,,Certificate Program on Criminal Law Practice and Procedure,,
,,,Certificate Course on Company Law,,
,,,Certificate Course on Media and Entertainment Laws,,
,,,Certificate Course on FDI and FEMA,,
,,,Certificate Course in Energy Laws,,


47,GS Moze College Of Engineering BALEWADI PUNE,Bachelor of Engineering specialization in Civil Engineering,Master of Business Administration,https://www.gsmozecoe.org/,
,,Bachelor of Engineering specialization in Computer Engineering,Master of Computer Applications,,
,,Bachelor of Engineering specialization in Electronics & Telecom Engineering,,,
,,Bachelor of Engineering specialization in Mechanical Engineering,,,
,,Bachelor of Engineering specialization in Information Technology,,,
,,Bachelor of Engineering specialization in Artificial Intelligence & Machine Learning,,,
,,Bachelor of Engineering specialization in Artificial Intelligence and Data Science,,,



48,Jayawantrao Sawant College of Engineering,Bachelor of Engineering in Computer Engineering,Master of Engineering in Electronics and Telecommunication Digital System,https://jspmjscoe.edu.in/,
,,Bachelor of Engineering in Mechanical Engineering,Master of Engineering in Computer Engineering,,
,,Bachelor of Engineering in Electrical Engineering,Master of Engineering in Design Engineering,,
,,Bachelor of Engineering in Electronics and Telecommunication Engineering,Master of Business Administration,,
,,Bachelor of Technology ,Master of Computer Applications ,,




49,FLAME University,Bachelor of Arts MAJOR in Economics,Master of Business Administration,https://www.flame.edu.in/,
,,Bachelor of Arts MAJOR in Psychology,Master of Business Administration specialization in Communications Management,,
,,Bachelor of Arts MAJOR in Literary & Cultural Studies,Master of Science in Economics,,
,,Bachelor of Arts MAJOR in International Studies,Postgraduate Program in Entrepreneurship and Innovation ,,
,,Bachelor of Arts MAJOR in Environmental Studies,Doctorate in Management ,,
,,Bachelor of Arts MAJOR in Journalism,Doctorate in Economics ,,
,,Bachelor of Arts MAJOR in Public Policy,Doctorate in Psychology,,
,,Bachelor of Arts MAJOR in Sociology,Doctorate in Data Science,,
,,Bachelor of Business Administration MAJOR in Advertising & Branding,Doctorate in Environmental Studies ,,
,,Bachelor of Business Administration MAJOR in Digital Marketing & Communications,Doctorate in Humanities and Sociology,,
,,Bachelor of Business Administration MAJOR in Film & Television Management,,,
,,Bachelor of Business Administration MAJOR in Communication Studies,,,
,,Bachelor of Business Administration MAJOR in Finance,,,
,,Bachelor of Business Administration MAJOR in Business Analytics,,,
,,Bachelor of Business Administration MAJOR in Marketing,,,
,,Bachelor of Business Administration MAJOR in Human Resource Management,,,
,,Bachelor of Business Administration MAJOR in Entrepreneurship,,,
,,Bachelor of Business Administration MAJOR in Operations,,,
,,Bachelor of Business Administration MAJOR in General Management,,,
,,Bachelor of Business Administration MAJOR in Design Management,,,
,,Bachelor of Science MAJOR in Applied Mathematics,,,
,,Bachelor of Science MAJOR in Data Science and Economics,,,
,,Bachelor of Science MAJOR in Computer Science,,,
,,Bachelor of Science MAJOR in Computer Science and Design,,,
,,Bachelorof Design,,,




50,Sinhgad college of commerce,Bachelor of Business Administration,Master of Commerce,http://www.sinhgad.edu/,
,,Bachelor of Business Administration in Computer Applications,,,
,,Bachelor of Commerce,,,
Sr.No,COLLEGE/UNIVERSITY,Undergraduate  Course,Post Graduate Course,WEBISTE
1,University of Kota,Bachelor of Science in Biology specialization in Chemistry,Master of Science Chemistry specialization in Inorganic Chemistry,"https:,,www.uok.ac.in,"
,,Bachelor of Science in Biology specialization in Botany,Master of Science Chemistry specialization in Organic Chemistry,
,,Bachelor of Science in Biology specialization in Zoology,Master of Science Chemistry specialization in Physical Chemistry,
,,Bachelor of Science in Mathematics specialization in Physics,Master of Science Chemistry specialization in Analytical Chemistry,
,,Bachelor of Science in Mathematics specialization Chemistry and Mathematics,Master of Science Chemistry specialization in Industrial Chemistry,
,,,Master of Philosophy in Chemistry,
,,,Doctorate in Chemistry,



2,"Rajasthan Technical University, Kota",Bachelor of Technology specialization in Agriculture Engineering,Master of Technology specialization in Control & Instrumentation,"https:,,rtu.ac.in,"
,,Bachelor of Technology specialization in Aeronautical Engineering,Master of Technology specialization in Computer Science Engineering,
,,Bachelor of Technology specialization in Automobile Engineering,Master of Technology specialization in Digital communications,
,,Bachelor of Technology specialization in Civil Engineering,Master of Technology specialization in Environmental Engineering,
,,Bachelor of Technology specialization in Chemical Engineering,Master of Technology specialization in Geo-Technology Engineering,
,,Bachelor of Technology specialization in Ceramic Engineering,Master of Technology specialization in Industrial Management & Engineering,
,,Bachelor of Technology specialization in Computer Science Engineering,Master of Technology specialization in Information Technology,
,,Bachelor of Technology specialization in Electronics & Communication Engineering,Master of Technology specialization in Machine Design,
,,Bachelor of Technology specialization in Electrical Engineering,Master of Technology specialization in Nano Technology,
,,Bachelor of Technology specialization in Electrical & Electronics Engineering,Master of Technology specialization in Production Engineering,
,,Bachelor of Technology specialization in Electronics Instrumentation & Control Engineering,Master of Technology specialization in Renewable Energy Technology,
,,Bachelor of Technology specialization in Information Technology,Master of Technology specialization in Power Systems,
,,Bachelor of Technology specialization in Industrial Engineering,Master of Technology specialization in Software Engineering,
,,Bachelor of Technology specialization in Mechatronics,Master of Technology specialization in Structural Engineering,
